experiment,foot,stance_distance_m,endpoint_gap_m,elevation_range_m,end_elevation_m,contacts,pair_rmse_m,pair_p95_m
stride_gain_half,left,197.57106547702796,2.5742319087315386,1.4779300106790454,1.361421779252481,129,0.9861872386065416,1.9538575888116518
stride_gain_half,right,200.16254992879612,3.612854801027048,0.2608966809199446,-0.14291345383359327,130,0.9861872386065416,1.9538575888116518
stride_gain_tenth,left,197.34513387743704,2.9136137283224746,9.131905273474663,8.901220202339928,129,1.0120449831928617,2.0102742278502794
stride_gain_tenth,right,200.11176323365572,4.025067674485679,2.485912862850247,-2.2021960019303144,130,1.0120449831928617,2.0102742278502794
stride_flat_prior,left,197.57652256805113,2.5612378976618104,0.10124051169553999,-6.735664645127464e-13,129,0.9853287228386209,1.952371231219191
stride_flat_prior,right,200.16231495243818,3.5985594568384753,0.12054026160127587,3.7330629047848556e-13,130,0.9853287228386209,1.952371231219191
stride_no_bias,left,197.47115210912193,2.8766387152195527,0.253312668959248,0.05018664688395056,129,10.116646531590009,18.1341270561699
stride_no_bias,right,200.02023518448954,14.560337755571412,0.5078076146201531,-0.4210228167796876,130,10.116646531590009,18.1341270561699
stride_stable_cal,left,197.55224848309805,2.5691313564251033,0.23931467633435088,0.03276495137009146,129,2.704006468713348,5.060669417027972
stride_stable_cal,right,200.06871930393544,5.837892143440161,0.5376368448347207,-0.4524873504757225,130,2.704006468713348,5.060669417027972
eskf_sparse,left,198.1588988854815,1.1728586469612878,0.29439286697636585,0.017281527321084657,129,5.823110156649958,10.9739725245275
eskf_sparse,right,204.3033564514882,9.095443323491626,2.1119873300608205,-1.9403337324407561,130,5.823110156649958,10.9739725245275
eskf_dense,left,196.18306042315572,6.36848712265375,1.107903882349397,-1.0155320860455712,129,3.2616309595336026,5.649264215359016
eskf_dense,right,197.79644365991732,2.730444263282948,4.693577745976269,-4.5815146696980795,130,3.2616309595336026,5.649264215359016
eskf_sparse_floor,left,198.12715323708338,1.0935705116249137,0.14766106072938545,-0.002946990048713922,129,4.9389077471885185,8.949469590740312
eskf_sparse_floor,right,203.09865324138678,7.621830189430003,0.1985457584611524,-0.0028105486627572032,130,4.9389077471885185,8.949469590740312
eskf_dense_floor,left,195.40188484776664,5.254261341693095,0.1338328701865642,0.012546058465123454,129,7.137954089479642,12.302675020748666
eskf_dense_floor,right,194.94106399005634,3.709725157834107,0.14717213805927634,-0.0002388812110309839,130,7.137954089479642,12.302675020748666
eskf_fixed_bias,left,218.40736782962387,11.53832125630204,0.39214793870358033,0.1555360046562307,129,2.363293228300845,3.669574875643273
eskf_fixed_bias,right,222.78433270565682,14.094868229207435,5.899897575381577,-5.861920464270897,130,2.363293228300845,3.669574875643273
eskf_dense_fixed,left,214.53105784442226,9.436538806769567,0.7046752876020805,-0.6258501117749935,129,2.749673506437248,4.4775672057248155
eskf_dense_fixed,right,219.20065642464033,11.503011344331188,7.3942886511526975,-7.3519932264611905,130,2.749673506437248,4.4775672057248155
eskf_bias1,left,205.93941225189866,26.87235004413583,0.4063259055653485,-0.28126554475007043,129,30.15678828352584,58.76294018806682
eskf_bias1,right,218.07570539435974,38.54130070666237,2.322610032124529,-2.2322396782054788,130,30.15678828352584,58.76294018806682
eskf_floor_bias1,left,206.32935099386947,25.53625229279779,0.14776824130679908,-0.0032885474958606713,129,18.543272001247043,35.365629580201364
eskf_floor_bias1,right,217.03938807969382,36.12360326127965,0.20033421453390127,-0.002945627523719141,130,18.543272001247043,35.365629580201364
eskf_acc02,left,202.0920078626363,4.818448377879415,0.43370137857827523,-0.06294341966441257,129,2.623563088933195,4.172267615334359
eskf_acc02,right,205.13520457934288,8.829900702062806,2.5745082352532367,-2.193212439996828,130,2.623563088933195,4.172267615334359
eskf_floor_acc02,left,201.92842935393492,4.167618561941484,0.14977999654897306,-0.003223868307218297,129,2.9976267478630456,5.24669229227162
eskf_floor_acc02,right,203.9855941714884,8.0611996754172,0.20163346250495784,-0.0027664506875665676,130,2.9976267478630456,5.24669229227162
eskf_dense_sigma01,left,196.50210453358022,2.2946043100526805,0.9718284508978121,-0.865806365258186,129,3.654149485767428,6.950054132344381
eskf_dense_sigma01,right,200.61324697684998,6.990721584875062,4.065096613247784,-3.9594885039042533,130,3.654149485767428,6.950054132344381
eskf_right,left,200.47883174055247,0.9928657235785026,0.6217863775203816,0.39297531161075494,129,6.447714461599349,12.054824861706773
eskf_right,right,206.23551607800846,9.748594249274497,1.656173077617379,-1.3331881758863564,130,6.447714461599349,12.054824861706773
APDM_orientation,left,197.78921334725976,55.75640313727215,5.815354619618653,5.680598804476103,129,54.18893622388713,91.6156528586148
APDM_orientation,right,199.85970086026504,58.10058579932997,0.6295969779664196,-0.4211337215256417,130,54.18893622388713,91.6156528586148
