trial,rep,bout,distance_m,package,package_code,status,snip,start_s,stop_s,duration_s,measured_m,walker,distance_error_m
40,1,2,12.0,ring,1,MESSED UP END/ START HERE. DOUBLE CLICKS,75.0,4067.981296,4078.336278,10.354982000000291,12.306625245051155,right_foot_a,0.30662524505115485
41,1,1,5.0,small,2,LATE ON END EVENT P1,76.0,4154.568388,4164.90034,10.331952000000456,4.455398376603925,right_foot_a,-0.5446016233960753
41,1,2,5.0,small,2,LATE ON END EVENT P1,77.0,4172.32829,4178.984381,6.656090999999833,4.943275181042445,right_foot_b,-0.0567248189575551
42,1,1,2.5,medium,3,,78.0,4232.357323,4239.883351,7.526028000000224,2.644037031765502,right_foot_b,0.1440370317655022
42,1,2,2.5,medium,3,,79.0,4244.620298,4249.359364,4.7390660000000935,3.576372659607967,right_foot_b,1.076372659607967
43,1,1,2.5,large,4,,80.0,4296.505414,4301.622367,5.116952999999739,2.0149864634632393,right_foot_a,-0.4850135365367607
43,1,2,2.5,large,4,,81.0,4311.012331,4315.984394,4.972063000000162,3.124242636592793,left_foot_a,0.6242426365927929
44,1,1,8.0,small,2,,82.0,4362.910317,4374.80634,11.896023000000241,7.553397182614451,right_foot_a,-0.44660281738554897
44,1,2,8.0,small,2,,83.0,4381.43434,4393.949374,12.515034000000014,7.685798668113611,right_foot_b,-0.3142013318863892
45,1,1,12.0,medium,3,,84.0,4429.360329,4438.975328,9.614999000000353,11.446049038780114,left_foot_a,-0.5539509612198863
45,1,2,12.0,medium,3,,85.0,4455.015352,4465.806331,10.790978999999425,11.946771836953134,left_foot_b,-0.05322816304686562
46,1,1,12.0,small,2,,86.0,4501.017338,4511.655399,10.638061000000562,11.629385806198313,left_foot_a,-0.37061419380168736
46,1,2,12.0,small,2,,87.0,4526.692392,4540.637446,13.9450539999998,12.361050192367491,left_foot_b,0.36105019236749136
47,1,1,8.0,medium,3,,88.0,4588.378373,4597.588398,9.210025000000314,6.972215859566346,right_foot_a,-1.0277841404336536
47,1,2,8.0,medium,3,,89.0,4609.377399,4616.492354,7.114955000000009,7.647141598072659,left_foot_b,-0.35285840192734064
48,1,1,8.0,large,4,,90.0,4654.77236,4662.172423,7.400063000000046,7.4415996281507555,right_foot_a,-0.5584003718492445
48,1,2,8.0,large,4,,91.0,4677.868423,4684.297366,6.42894299999989,7.933297342736369,right_foot_b,-0.06670265726363134
1,2,1,8.0,small,2,,92.0,5087.08742,5100.125419,13.037999000000127,7.627078106902072,right_foot_a,-0.3729218930979279
1,2,2,8.0,small,2,,93.0,5108.82147,5117.876482,9.055011999999806,7.863102581022167,right_foot_b,-0.13689741897783314
2,2,1,5.0,medium,3,,94.0,5163.649426,5170.754428,7.1050020000002405,7.583882689683355,right_foot_a,2.583882689683355
2,2,2,5.0,medium,3,,95.0,5181.718482,5196.635432,14.916949999999815,5.051203828364209,left_foot_b,0.051203828364209336
3,2,1,12.0,medium,3,,96.0,5260.59946,5271.941443,11.341982999999345,11.660982322091407,right_foot_a,-0.3390176779085934
3,2,2,12.0,medium,3,,97.0,5289.904504,5302.1225,12.217996000000312,12.047400821420707,left_foot_b,0.04740082142070712
4,2,1,5.0,small,2,,99.0,5470.96747,5483.162473,12.195003000000725,7.312983815574928,right_foot_a,2.3129838155749276
4,2,2,5.0,small,2,,101.0,5691.61655,5696.231505,4.614955000000009,4.635030580738349,right_foot_a,-0.3649694192616506
5,2,1,2.5,medium,3,,102.0,5760.317567,5763.636532,3.3189650000003894,3.8152526888346987,left_foot_a,1.3152526888346987
5,2,2,2.5,medium,3,,103.0,5774.275516,5777.810515,3.5349990000004254,2.042485897253811,right_foot_a,-0.4575141027461891
6,2,1,5.0,large,4,,,,,,,,
6,2,2,5.0,large,4,,104.0,5814.391522,5821.657581,7.266059000000496,4.856335629179574,right_foot_b,-0.14366437082042616
7,2,1,2.5,ring,1,,105.0,5881.099552,5884.852584,3.7530320000005304,2.3292177305973385,left_foot_b,-0.1707822694026615
7,2,2,2.5,ring,1,,106.0,5894.448601,5897.746603,3.298001999999542,2.186710948219146,left_foot_a,-0.313289051780854
8,2,1,8.0,small,2,,107.0,5931.881583,5939.643537,7.761953999999605,7.8200981892847174,right_foot_b,-0.17990181071528255
8,2,2,8.0,small,2,,108.0,5953.868614,5961.864563,7.99594900000011,7.285787156631837,right_foot_a,-0.7142128433681627
9,2,1,12.0,large,4,PARTICIPANT VERIFYING ON WAY BACK PARTICIPANT A 12M,109.0,5996.681544,6005.420566,8.73902199999975,11.18370160425602,left_foot_b,-0.8162983957439796
9,2,2,12.0,large,4,PARTICIPANT VERIFYING ON WAY BACK PARTICIPANT A 12M,110.0,6023.979547,6033.007601,9.028054000000338,11.121427526125087,left_foot_a,-0.8785724738749128
10,2,1,2.5,medium,3,,111.0,6101.082623,6112.486618,11.403994999999668,2.5190537466281437,right_foot_b,0.019053746628143742
10,2,2,2.5,medium,3,,112.0,6116.459581,6120.916627,4.457045999999536,1.910716382748603,right_foot_a,-0.5892836172513971
11,2,1,8.0,ring,1,,113.0,6153.896567,6162.079527,8.182960000000094,8.121946808962262,right_foot_b,0.12194680896226195
11,2,2,8.0,ring,1,,114.0,6176.857591,6185.274588,8.416997000000265,8.475231967277171,right_foot_a,0.4752319672771712
12,2,1,5.0,ring,1,,115.0,6211.300492,6217.513518,6.213025999999445,4.6444848326304715,left_foot_b,-0.3555151673695285
12,2,2,5.0,ring,1,,116.0,6227.567549,6231.874507,4.306958000000122,4.039951814345311,left_foot_a,-0.9600481856546894
13,2,1,2.5,large,4,,117.0,6281.370515,6289.132533,7.762018000000353,2.8653824315332197,left_foot_a,0.3653824315332197
13,2,2,2.5,large,4,,118.0,6297.671497,6302.911587,5.240089999999327,2.2708057812943943,right_foot_a,-0.22919421870560575
14,2,1,2.5,large,4,,119.0,6319.221611,6323.309493,4.087881999999809,3.1363364523647363,right_foot_a,0.6363364523647363
14,2,2,2.5,large,4,,120.0,6335.139596,6338.971629,3.832032999999683,2.317030599092777,left_foot_a,-0.1829694009072229
15,2,1,12.0,large,4,,,,,,,,
15,2,2,12.0,large,4,,121.0,6366.583567,6377.121521,10.537954000000354,12.189261194474922,right_foot_b,0.18926119447492162
16,2,1,5.0,large,4,,122.0,6461.158576,6468.241473,7.08289700000023,5.480368692285613,left_foot_b,0.4803686922856132
16,2,2,5.0,large,4,,123.0,6481.048503,6487.013523,5.96501999999964,5.360315934079386,left_foot_a,0.3603159340793862
