trial,bout,subject,condition,start_idx,end_idx,duration_s,n_strides_left,n_strides_right,dist_left_m,dist_right_m,dist_m,stride_speed_mps,stride_speed_std
53,2,s2,B_holds_box_walks_second,489548,489957,4.09,1,1,1.2676926803232835,1.7759822471793592,1.5218374637513215,0.0003579934271584526,4.4360410099377866e-05
54,1,s1,B_holds_box_walks_second,493330,494118,7.88,5,3,4.539132209586185,4.183768730027927,4.361450469807056,0.6818695624361981,0.5019684569638015
54,2,s2,B_holds_box_walks_second,495536,496261,7.25,3,3,3.53898343230932,3.8887090672484645,3.713846249778892,0.6990407226969088,0.49652769996922613
55,1,s1,B_holds_box_walks_second,500831,501493,6.62,3,4,4.542196688082543,4.2348764414842375,4.38853656478339,0.7410476079057247,0.5278063100471719
55,2,s2,B_holds_box_walks_second,502596,503352,7.5600000000000005,3,5,2.9047477858889548,4.372862288358266,3.6388050371236105,0.7389774018919928,0.5413954105905877
56,1,s1,B_holds_box_walks_second,505842,506850,10.08,3,3,3.6145960182522283,4.116374654813407,3.8654853365328172,0.798602687198943,0.5659122997284156
56,2,s2,B_holds_box_walks_second,507922,508458,5.36,2,4,3.376644903872526,3.895051166053214,3.63584803496287,0.6513221383067934,0.5512512447436293
57,1,s1,B_holds_box_walks_second,512177,513280,11.03,6,4,7.886488076719321,7.513982313197314,7.700235194958317,1.1135444006023607,0.5432239005778751
57,2,s2,B_holds_box_walks_second,514919,515927,10.08,5,7,6.301559051380398,7.259210002304914,6.780384526842656,1.0153194433733936,0.47867955605828777
58,1,s1,B_holds_box_walks_second,518439,519290,8.51,1,1,1.4427992005709716,2.389039885750594,1.9159195431607827,0.0011709519906999795,0.0003554943331054162
58,2,s2,B_holds_box_walks_second,520173,520897,7.24,2,1,1.125763155725527,1.778092761612208,1.4519279586688674,0.1501501196832545,0.18958531309948906
59,1,s1,B_holds_box_walks_second,522915,523828,9.13,3,4,4.824116799924518,4.105093131173739,4.464604965549128,0.6900333207036484,0.5134939636109008
59,2,s2,B_holds_box_walks_second,524679,525562,8.83,4,3,3.4605060494087567,3.851821915847981,3.656163982628369,0.8100937246063543,0.4979540804381441
60,1,s1,B_holds_box_walks_second,528398,528777,3.79,1,2,2.3359626596614387,2.0706293447925286,2.203296002226984,0.17677234956367302,0.24981925422699539
60,2,s2,B_holds_box_walks_second,529785,530447,6.62,1,2,1.4382718274678483,1.7501832860902613,1.594227556779055,0.2796214763271095,0.3951797654746637
61,1,s1,B_holds_box_walks_second,535458,536341,8.83,6,3,7.248309509246147,6.801252462488703,7.024780985867425,1.1712215487394773,0.5532179393560783
61,2,s2,B_holds_box_walks_second,537759,538893,11.34,4,6,6.795876015922382,6.724118858845477,6.75999743738393,1.0149377393813626,0.44678981667709533
62,1,s1,B_holds_box_walks_second,541635,542739,11.040000000000001,7,8,10.911580544030471,10.750873352287277,10.831226948158875,1.1481829661773688,0.53857426901174
62,2,s2,B_holds_box_walks_second,544094,545480,13.86,8,8,7.291528646913058,10.818938509941637,9.055233578427348,1.108872092155417,0.4425859296161194
63,1,s1,B_holds_box_walks_second,549546,550439,8.93,3,3,4.496697843998053,4.1494076501845765,4.323052747091315,0.7292138968979254,0.5187209859528304
63,2,s2,B_holds_box_walks_second,551421,552194,7.73,4,3,3.9207701560006325,3.711215429943023,3.815992792971828,0.7434153841361326,0.5380771940379094
64,1,s1,B_holds_box_walks_second,554895,555556,6.61,2,1,1.9044551882786933,2.468657655733913,2.186556422006303,0.3640117608955146,0.2676433715248689
64,2,s2,B_holds_box_walks_second,556313,556912,5.99,1,1,1.1389891511752737,1.697269419500454,1.418129285337864,0.00135799420659575,0.0004579746932606724
65,1,s1,B_holds_box_walks_second,560588,561839,12.51,7,7,10.817276082941742,10.468339836353218,10.642807959647481,1.249802066805765,0.5688755522261181
65,2,s2,B_holds_box_walks_second,563152,564570,14.18,7,8,7.902449797261866,10.702786592273814,9.30261819476784,1.1545738266650387,0.46883571961761217
66,1,s1,B_holds_box_walks_second,568163,568919,7.5600000000000005,2,2,2.24121417723425,1.4040434716947545,1.8226288244645024,0.36597576961150396,0.37319963983499194
66,2,s2,B_holds_box_walks_second,569865,570590,7.25,1,2,1.2358237573299076,1.8138355309794842,1.5248296441546958,0.3540962832012898,0.4999991069358277
67,1,s1,B_holds_box_walks_second,574309,575317,10.08,7,6,7.086948609515491,8.28592002726932,7.686434318392406,0.9237149713521021,0.5445603976018811
67,2,s2,B_holds_box_walks_second,576389,577870,14.81,4,6,4.582282335174723,7.210881274200075,5.896581804687399,1.1067548015507591,0.38546028223534656
68,1,s1,B_holds_box_walks_second,580612,581652,10.4,7,6,10.693923469509567,10.58446973885634,10.639196604182953,1.2917879617821586,0.5813851682575604
68,2,s2,B_holds_box_walks_second,583007,584237,12.3,7,8,9.886282933825916,10.708775636885738,10.297529285355827,1.1152893718809065,0.43240177134941327
69,1,s1,B_holds_box_walks_second,587001,587757,7.5600000000000005,3,4,3.1494628232716506,4.173195215099732,3.661329019185691,0.8204107263111314,0.5272330414486639
69,2,s2,B_holds_box_walks_second,588356,589553,11.97,3,3,1.5207427865650156,4.125657315861827,2.823200051213421,0.9279155249001704,0.52814871060931
