trial,bout,subject,distance_m,package,handoff,n_strides,n_steps,walk_s,cadence_spm,max_step_speed_mps,mean_step_speed_mps,step_speed_std,step_len_m,step_width_m,anchor_drift_s,net_dist_m
36,2,s1,12.0,5,ground,17,15,9.7,92.8,1.565,1.259,0.271,0.723,0.304,1.68,10.82
37,1,s2,8.0,15,waist,13,13,10.99,71.0,1.454,1.017,0.405,0.573,0.866,4.48,6.52
37,2,s1,8.0,15,waist,12,11,8.65,76.3,1.514,0.926,0.449,0.671,0.326,1.93,7.36
38,1,s2,2.5,5,held out,6,5,4.97,60.4,0.994,0.488,0.352,0.37,-0.218,2.05,1.58
38,2,s1,2.5,5,held out,5,4,4.12,58.3,0.933,0.485,0.331,0.283,0.257,2.05,1.93
39,1,s2,12.0,15,ground,20,18,10.33,104.5,1.492,1.107,0.269,0.585,0.3,1.78,10.57
39,2,s1,12.0,15,ground,16,15,11.39,79.0,2.024,1.242,0.319,0.712,0.258,2.07,10.37
40,1,s2,8.0,0,held out,13,13,7.52,103.7,1.326,1.027,0.277,0.549,0.3,2.17,6.98
40,2,s1,8.0,0,held out,12,11,9.1,72.5,1.625,1.084,0.564,0.664,0.238,2.36,7.28
41,1,s2,2.5,10,held out,6,5,4.18,71.8,0.915,0.575,0.399,0.362,-0.173,1.68,1.74
41,2,s1,2.5,10,held out,4,5,5.94,50.5,0.712,0.282,0.267,0.348,0.172,2.49,1.77
42,1,s2,2.5,15,waist,4,4,5.34,44.9,0.897,0.275,0.364,0.097,0.417,2.99,1.52
42,2,s1,2.5,15,waist,3,5,8.17,36.7,0.725,0.337,0.326,0.389,0.383,2.91,1.81
43,1,s2,8.0,10,waist,14,13,9.28,84.1,1.408,1.012,0.401,0.565,0.644,2.66,6.98
43,2,s1,8.0,10,waist,2,1,3.4,17.6,0.203,0.203,0.0,1.27,-0.083,inf,0.59
44,1,s2,12.0,10,ground,17,18,11.94,90.5,1.46,1.082,0.347,0.592,0.372,1.66,10.61
44,2,s1,12.0,10,ground,16,16,11.66,82.3,1.437,1.024,0.447,0.673,0.392,2.0,10.73
45,1,s2,5.0,5,ground,10,8,4.85,99.0,1.308,0.987,0.178,0.533,0.339,1.55,4.22
45,2,s1,5.0,5,ground,6,7,7.62,55.1,1.336,0.738,0.512,0.627,0.324,2.55,4.36
46,1,s2,2.5,15,held out,4,4,4.27,56.2,0.919,0.414,0.418,0.37,-0.564,1.73,1.36
46,2,s1,2.5,15,held out,3,5,7.27,41.3,0.726,0.253,0.27,0.365,0.961,3.28,2.05
47,1,s2,5.0,15,held out,6,8,9.18,52.3,1.257,0.727,0.531,0.486,0.327,2.95,3.79
47,2,s1,5.0,15,held out,6,8,9.76,49.2,1.052,0.572,0.378,0.441,0.348,3.01,4.23
48,1,s2,12.0,10,held out,19,16,9.91,96.9,1.537,1.235,0.221,0.623,0.353,1.84,10.65
48,2,s1,12.0,10,held out,17,16,11.48,83.6,1.463,1.079,0.392,0.674,0.398,2.2,10.76
49,1,s1,8.0,5,ground,12,11,6.76,97.6,1.521,1.177,0.312,0.675,0.299,1.44,7.39
49,2,s2,8.0,5,ground,13,13,9.24,84.4,1.352,0.971,0.426,0.546,0.282,1.61,7.07
50,1,s1,12.0,5,held out,13,15,12.2,73.8,1.701,1.172,0.559,0.723,1.055,3.68,10.85
50,2,s2,12.0,5,held out,17,17,11.21,91.0,1.646,1.158,0.454,0.627,0.153,1.62,10.24
51,1,s1,5.0,10,ground,7,7,7.05,59.6,1.275,0.797,0.534,0.621,0.071,1.88,4.2
51,2,s2,5.0,10,ground,7,8,8.07,59.5,1.307,0.782,0.553,0.479,0.354,3.21,3.96
52,1,s1,2.5,5,waist,5,6,6.56,54.9,1.022,0.442,0.399,0.332,0.587,2.77,1.98
52,2,s2,2.5,5,waist,7,5,4.09,73.3,0.967,0.583,0.242,0.391,0.112,2.1,1.8
53,1,s1,2.5,10,ground,6,4,3.36,71.4,0.958,0.688,0.218,0.456,-0.012,1.59,1.85
53,2,s2,2.5,10,ground,6,4,3.4,70.6,1.041,0.754,0.249,0.461,0.154,1.48,1.76
54,1,s1,5.0,15,waist,11,9,6.86,78.7,1.266,0.792,0.35,0.5,0.371,1.83,4.44
54,2,s2,5.0,15,waist,9,7,6.67,63.0,1.118,0.841,0.377,0.498,0.311,1.79,4.08
55,1,s1,5.0,0,waist,10,8,5.41,88.7,1.306,1.027,0.243,0.556,0.19,2.05,4.52
55,2,s2,5.0,0,waist,11,9,5.51,98.0,1.211,0.909,0.335,0.507,0.287,1.5,4.51
56,1,s1,5.0,10,held out,9,8,6.69,71.7,1.29,0.828,0.468,0.528,0.218,3.14,4.17
56,2,s2,5.0,10,held out,8,6,4.47,80.5,1.219,1.069,0.175,0.516,0.271,1.57,3.99
57,1,s1,8.0,0,waist,12,12,10.07,71.5,1.544,1.046,0.523,0.638,0.225,2.53,7.61
57,2,s2,8.0,0,waist,13,12,8.19,87.9,1.732,1.125,0.481,0.583,0.282,1.45,7.1
58,1,s1,2.5,0,ground,1,3,7.93,22.7,0.737,0.356,0.301,0.402,0.234,3.32,1.96
58,2,s2,2.5,0,ground,4,4,5.54,43.3,1.003,0.418,0.434,0.38,-1.23,1.8,1.31
59,1,s1,5.0,0,held out,9,8,6.89,69.7,1.194,0.741,0.418,0.509,0.4,2.24,4.14
59,2,s2,5.0,0,held out,9,8,6.42,74.8,1.43,0.828,0.481,0.494,0.094,1.74,3.88
60,1,s1,2.5,10,waist,4,4,3.5,68.6,1.2,0.914,0.28,0.517,0.049,1.93,2.02
60,2,s2,2.5,10,waist,5,5,5.23,57.4,0.822,0.398,0.363,0.295,0.334,2.54,1.71
61,1,s1,8.0,15,ground,13,11,7.4,89.2,1.714,1.081,0.517,0.656,0.508,2.11,7.13
61,2,s2,8.0,15,ground,12,11,10.01,65.9,1.586,1.046,0.383,0.561,0.218,1.95,6.99
62,1,s1,12.0,0,ground,17,16,9.98,96.2,1.627,1.188,0.439,0.68,0.362,1.85,10.93
62,2,s2,12.0,0,ground,18,18,12.05,89.6,1.579,1.123,0.317,0.631,0.887,2.82,10.59
63,1,s1,5.0,5,waist,7,7,5.99,70.1,1.559,0.852,0.563,0.631,-0.24,1.89,4.38
63,2,s2,5.0,5,waist,9,7,5.82,72.2,1.277,0.923,0.415,0.534,0.285,1.77,4.39
64,1,s1,2.5,0,held out,5,5,5.78,51.9,0.823,0.306,0.327,0.382,0.103,2.12,1.78
64,2,s2,2.5,0,held out,5,3,4.18,43.1,0.695,0.381,0.288,0.352,0.11,2.17,1.64
65,1,s1,12.0,15,waist,15,15,10.36,86.9,1.767,1.213,0.566,0.724,0.39,2.0,10.82
65,2,s2,12.0,15,waist,17,17,10.99,92.8,1.693,1.155,0.443,0.634,0.375,1.81,10.8
66,1,s1,2.5,5,ground,8,6,6.04,59.6,0.843,0.456,0.228,0.359,0.381,3.74,1.9
66,2,s2,2.5,5,ground,5,5,5.28,56.8,1.052,0.54,0.458,0.38,-0.964,1.72,1.57
67,1,s1,8.0,10,ground,15,14,9.33,90.0,1.534,0.927,0.503,0.518,0.944,2.38,7.28
67,2,s2,8.0,10,ground,13,13,10.9,71.6,1.388,0.986,0.451,0.556,0.226,1.63,7.2
68,1,s1,12.0,0,held out,17,15,9.67,93.1,1.789,1.311,0.416,0.713,0.346,1.5,10.64
68,2,s2,12.0,0,held out,17,16,11.03,87.0,1.551,1.19,0.321,0.618,0.323,1.3,10.61
69,1,s1,5.0,5,held out,7,8,7.37,65.1,1.243,0.694,0.535,0.541,0.215,3.67,3.44
69,2,s2,5.0,5,held out,7,8,11.61,41.3,1.676,0.826,0.525,0.663,2.249,10.57,2.86
70,1,s1,8.0,10,held out,12,11,7.46,88.5,1.476,1.102,0.451,0.661,0.42,1.63,7.24
70,2,s2,8.0,10,held out,13,12,7.99,90.1,1.494,1.029,0.463,0.576,0.32,1.84,6.9
71,1,s1,8.0,15,held out,13,12,8.91,80.8,1.412,0.945,0.475,0.553,0.128,2.07,7.33
71,2,s2,8.0,15,held out,2,0,2.07,0.0,,,,,,inf,0.33
72,1,s1,5.0,0,ground,9,7,5.77,72.8,1.287,1.002,0.156,0.624,0.371,1.89,4.39
72,2,s2,5.0,0,ground,10,7,5.74,73.2,1.303,1.018,0.258,0.522,0.302,1.83,4.21
73,1,s1,8.0,5,waist,11,12,13.76,52.3,1.361,0.794,0.494,0.629,2.068,5.48,7.93
73,2,s2,8.0,5,waist,14,13,8.39,93.0,1.556,1.015,0.428,0.572,0.275,1.61,7.39
74,1,s1,5.0,15,ground,8,8,7.08,67.8,1.085,0.707,0.362,0.545,0.26,2.15,4.28
74,2,s2,5.0,15,ground,10,8,6.82,70.4,1.293,0.944,0.307,0.514,0.563,1.95,4.04
75,1,s1,12.0,5,waist,12,15,10.45,86.1,1.419,1.152,0.287,0.731,0.512,2.82,10.62
75,2,s2,12.0,5,waist,20,18,10.66,101.3,1.497,1.128,0.229,0.588,0.483,1.72,10.63
76,1,s1,12.0,10,waist,2,0,0.02,0.0,,,,,,inf,0.0
76,2,s2,12.0,10,waist,19,18,11.15,96.9,1.555,1.092,0.387,0.599,0.455,1.44,10.77
77,1,s1,2.5,15,ground,3,3,3.71,48.5,0.975,0.325,0.459,0.65,-0.327,3.46,1.42
77,2,s2,2.5,15,ground,5,4,3.18,75.5,1.017,0.667,0.242,0.391,0.301,1.79,1.62
78,1,s1,12.0,0,waist,17,15,12.27,73.3,1.612,1.203,0.484,0.711,0.804,3.13,10.76
78,2,s2,12.0,0,waist,18,16,10.93,87.8,1.444,1.162,0.348,0.623,0.378,1.76,10.73
79,1,s1,5.0,10,waist,8,8,7.78,61.7,1.128,0.795,0.268,0.518,0.539,3.0,4.43
79,2,s2,5.0,10,waist,10,9,4.76,113.4,1.215,0.952,0.262,0.451,0.329,1.44,4.27
80,1,s1,2.5,0,waist,5,5,7.53,39.8,0.855,0.324,0.284,0.429,0.697,4.55,2.09
80,2,s2,2.5,0,waist,6,5,3.93,76.3,1.023,0.693,0.265,0.407,0.175,1.76,1.95
81,1,s1,12.0,15,held out,17,16,10.78,89.1,1.687,1.206,0.391,0.673,0.427,2.38,10.75
81,2,s2,12.0,15,held out,1,1,2.14,28.0,1.093,1.093,0.0,0.302,0.2,inf,0.59
82,1,s1,8.0,5,held out,3,1,2.29,26.2,0.869,0.869,0.0,0.456,0.2,inf,0.54
82,2,s2,8.0,5,held out,12,12,10.66,67.5,1.338,0.974,0.462,0.533,0.426,2.15,7.02
83,1,s1,8.0,0,ground,12,11,8.96,73.7,1.645,1.189,0.44,0.68,0.563,2.09,7.34
83,2,s2,8.0,0,ground,13,13,9.84,79.3,1.314,0.985,0.446,0.564,0.143,1.62,7.26
84,1,s1,12.0,5,ground,14,14,11.61,72.4,2.239,1.288,0.589,0.712,0.223,2.52,10.64
84,2,s2,12.0,5,ground,18,18,12.98,83.2,1.469,1.126,0.418,0.598,0.337,1.43,10.7
85,1,s1,8.0,15,waist,12,10,9.36,64.1,1.64,1.15,0.496,0.641,0.507,2.15,7.46
85,2,s2,8.0,15,waist,14,13,8.34,93.5,1.645,1.073,0.452,0.57,0.363,1.48,7.35
86,1,s1,2.5,5,held out,5,5,5.24,57.3,0.824,0.322,0.315,0.397,0.151,1.97,1.91
86,2,s2,2.5,5,held out,4,3,4.37,41.2,0.985,0.546,0.409,0.363,-0.054,1.68,1.59
87,1,s1,12.0,15,ground,17,16,10.47,91.7,1.623,1.148,0.429,0.663,0.487,1.87,10.68
87,2,s2,12.0,15,ground,19,17,9.88,103.2,1.434,1.175,0.272,0.622,0.356,1.69,10.49
88,1,s1,8.0,0,held out,12,11,8.3,79.5,1.459,1.034,0.449,0.665,0.327,2.6,7.26
88,2,s2,8.0,0,held out,14,13,8.24,94.7,1.578,1.043,0.447,0.558,0.281,1.36,7.18
89,1,s1,2.5,10,held out,7,5,4.77,62.9,0.938,0.343,0.337,0.316,0.465,2.41,1.66
89,2,s2,2.5,10,held out,5,4,3.6,66.7,1.197,0.597,0.486,0.409,-0.183,1.53,1.53
90,1,s1,2.5,15,waist,6,5,5.0,60.0,1.061,0.506,0.359,0.433,0.899,3.72,2.01
90,2,s2,2.5,15,waist,5,5,4.27,70.3,1.013,0.495,0.418,0.395,-0.286,1.75,1.77
91,1,s1,8.0,10,waist,10,11,8.07,81.8,1.57,1.057,0.466,0.675,0.077,1.82,7.1
91,2,s2,8.0,10,waist,14,13,8.27,94.3,1.657,1.082,0.442,0.579,0.351,1.61,7.44
92,1,s1,12.0,10,ground,15,15,11.39,79.0,1.592,1.207,0.362,0.718,0.918,2.78,10.66
92,2,s2,12.0,10,ground,18,17,10.32,98.8,1.702,1.162,0.388,0.621,0.292,1.38,10.5
93,1,s1,5.0,5,ground,9,8,6.77,70.9,1.21,0.859,0.352,0.558,0.378,2.03,4.43
93,2,s2,5.0,5,ground,8,8,7.09,67.7,1.518,0.909,0.547,0.522,-0.245,1.48,4.02
94,1,s1,2.5,15,held out,5,3,3.88,46.4,1.564,0.636,0.663,0.536,0.145,2.68,1.23
94,2,s2,2.5,15,held out,2,0,1.98,0.0,,,,,,inf,0.26
95,1,s1,5.0,15,held out,10,8,5.15,93.2,1.502,0.891,0.423,0.476,0.31,1.84,4.24
95,2,s2,5.0,15,held out,8,8,7.11,67.5,1.256,0.871,0.513,0.493,-0.158,1.56,3.79
96,1,s1,12.0,10,held out,16,15,10.64,84.6,1.75,1.277,0.538,0.714,0.314,2.15,10.72
96,2,s2,12.0,10,held out,2,0,2.06,0.0,,,,,,inf,0.25
